issue,issue_link,topic,confidence_score
"All appeals sorting
When an user navigates to All Appeals https://go.ifrc.org/appeals/all?region=0 the records are sorted in a weird way, can we sort them by date? (With the most recent on top)

![image](https://github.com/IFRCGo/go-infrastructure/assets/69478743/ac216540-dfcb-4044-a321-5aaf7dcc62c0)


@szabozoltan69 @tovari ",https://api.github.com/repos/IFRCGo/go-web-app/issues/915,9,"[2.51475620e-308 6.68127173e-308 4.21493253e-308 4.21643903e-308
 4.95004346e-308 5.24724510e-308 4.02676196e-308 1.93603688e-307
 1.56361744e-307 1.00000000e+000 1.08205314e-307 9.76204114e-308
 4.43496692e-308 7.48106731e-308 4.45293736e-308 6.02991735e-308
 5.36926274e-308 1.20193000e-307 6.12678513e-308 4.77977019e-308
 7.48884944e-308 4.19817745e-307 5.43196248e-308 1.41886143e-307
 4.62320773e-308 3.35514330e-307]"
"Have link to communication guidelines on Field Report submit page
**Is your feature request related to a problem? Please describe.**
Field reports can be submitted by NSs themselves. NSs might have a different ideas on language what is appropriate. We need to have some general communication guidelines how to phrase things (or how not) so it adheres to our principles of neutrality and independence. There should be a link to these guidelines when submitting a Field Report.

**Describe the solution you'd like**
On the create field report page a clear link to the communication guidelines. With a message that, IFRC has the right to depublish a field report when it is not in line with these guidelines.

**Describe alternatives you've considered**
Having the guidelines shown and you need to click on ""Yes, I agree"" in order to go further. > This is making it too cumbersome.

**Where does the data come from and how is it maintained?**
Communication guidelines could be provided by the (web) comms team.

**Should there be any restrictions around viewing or updating information related to this feature**
Everyone should see this.

",https://api.github.com/repos/IFRCGo/go-web-app/issues/885,6,"[0.00543681 0.01011375 0.01153268 0.0061284  0.00799641 0.04400289
 0.17503181 0.01105744 0.01231244 0.01044003 0.01705343 0.01763781
 0.0382717  0.00828626 0.00820128 0.01703976 0.00930872 0.01319073
 0.00908936 0.00659891 0.00934819 0.00924358 0.04198675 0.01406142
 0.08433875 0.01076754]"
"Active alert going out to GO-managers if potential sensitive text is posted on GO
**Is your feature request related to a problem? Please describe.**
Non-IFRC staff can submit Field Reports (and operations, etc). Monitoring of the submitted texts is by discretion of the regional offices. This might not be done very often. Therefore, there can be texts posted on GO which are political sensitive and could cause some uproar (as we've seen in the past). The GO-managers need to get notified on texts that are questionable regarding the wording/phrasing, so they can take action immediately. 

**Describe the solution you'd like**
Have a black-list of words/phrases. If a text (title, bodytext, etc) contains any of the words, the entry should be flagged and be hidden until a GO-manager has approved the entry. If this happens, the GO-manager should get an email with an action item to review the entry and to approve or disapprove it.

**Describe alternatives you've considered**
*A clear and concise description of any alternative solutions or features you've considered.*

**Additional context**
I'm using the term ""GO-manager"". It would be good if there are multiple people on this list, so the process is not coming to a halt when a person is on leave. This could be by region, but could also done globally..

**Where does the data come from and how is it maintained?**
The data for the black list should be maintained by comms GVA or the GO administrators.
",https://api.github.com/repos/IFRCGo/go-web-app/issues/886,6,"[1.91340525e-308 3.53104093e-308 4.07335806e-308 2.14405573e-308
 2.76013830e-308 1.21826947e-307 1.00000000e+000 3.72799511e-308
 4.20963665e-308 3.56664917e-308 5.67673782e-308 5.71763078e-308
 1.10208069e-307 2.87919860e-308 2.83205718e-308 5.52208617e-308
 3.19195567e-308 4.42564383e-308 3.11137697e-308 2.30424915e-308
 3.20555899e-308 3.17401529e-308 1.23005294e-307 4.72851726e-308
 2.27037306e-307 3.69101645e-308]"
"project: Add commands to push translation migration to go server and to import from excel
",https://api.github.com/repos/IFRCGo/go-web-app/issues/905,0,"[0.70574782 0.0096399  0.00878435 0.00995838 0.01509776 0.01113764
 0.01017514 0.01401695 0.0109669  0.01302211 0.01115816 0.01297349
 0.01102765 0.01077224 0.01313848 0.01304615 0.01314485 0.01151373
 0.014605   0.01019383 0.01191601 0.01301828 0.01063098 0.01215821
 0.01049089 0.01166511]"
"User registration: Ask for phone number in international format
## Is your feature request related to a problem? Please describe.

Currently, there doesn't seem to be any (even rudimentary) format validation or sanitization of the phone number field in the user registration form. E.g. this is considered a valid phone number by GO: `+358(0)555-86.43/23`.

## Describe the solution you'd like

Assuming we'd want to store [E.164](https://en.wikipedia.org/wiki/E.164)-compliant phone numbers, implement [intl-tel-input](https://github.com/jackocnr/intl-tel-input) plugin developed by Twilio (see [article](https://www.twilio.com/en-us/blog/international-phone-number-input-html-javascript)).

## Describe alternatives you've considered

1. Provide an example of the format we want users to type their phone number in
2. Implement a regex (`^\+[1-9]\d{1,14}$`) that ensures phone numbers
   - start with a + character
   - don't accept any parentheses, hyphens, dots, forward slashes, or other common delimiters
   - don't accept any alphabetic characters",https://api.github.com/repos/IFRCGo/go-web-app/issues/930,17,"[2.15369585e-308 1.01206422e-307 6.54342530e-308 4.49726774e-308
 5.14266788e-308 7.65364798e-308 5.46976141e-308 1.13827797e-307
 1.98998325e-307 1.23796277e-307 1.67042289e-307 1.16794559e-307
 6.44311757e-308 8.20963484e-308 5.15588175e-308 8.60872729e-308
 6.44159419e-308 1.00000000e+000 6.52761737e-308 5.13235151e-308
 9.19763551e-308 1.03223772e-307 8.51373416e-308 2.76213617e-307
 6.47790933e-308 2.11231605e-307]"
"""Is Pinned"" feature not working for situation reports
## Issue
The [Ukraine appeal page](https://go.ifrc.org/emergencies/5854/reports) has a lot of reports. I have now only 4 reports marked as ""Is Pinned"", and they should be shown on top of the list. They do not.

## Steps to reproduce
See this page: https://go.ifrc.org/emergencies/5854/reports
Also see the backend: https://goadmin.ifrc.org/en/admin/api/event/5854/change/

## Expected behaviour
Items that are marked as ""Is Pinned"" should be shown at the top of the list.
Alternate feature: could we have a ""sort-value"" field that is used to sort the items in the list? Then you have more control over the order of the list.

## Related feature
None that I can find.

## Impact
All users.

## Severity
Not a blocking issue. 

## Is there a workaround?
Not that I'm aware off.",https://api.github.com/repos/IFRCGo/go-web-app/issues/916,1,"[1.80993900e-308 1.00000000e+000 8.82261825e-308 4.83317923e-308
 3.34789913e-308 4.03158241e-308 3.45435220e-308 4.76094506e-308
 8.59553383e-308 6.00811662e-308 7.69561918e-308 4.59073187e-308
 3.63671554e-308 1.21240239e-307 3.54156893e-308 4.13082378e-308
 4.12316006e-308 8.36881921e-308 4.02155375e-308 5.64593453e-308
 7.45714310e-308 5.41287348e-308 4.57843396e-308 6.64364285e-308
 3.85634825e-308 9.05302247e-308]"
"Adopt new Mapbox style set for GO local units map views
**Description:**
We've been working on a new Mapbox style set that displays street-level tilesets, and we want to adopt it for the GO local units map views. The aim is to provide a more detailed and visually appealing representation of local units and health care units on the map.

**Objective:**
1. Integrate the new Mapbox style set into the GO staging environment.
2. Test how the local units and health care units icons appear on the new style set.
3. Make necessary adjustments to ensure optimal visibility and usability.


**Resources:**
- Style URL: mapbox://styles/go-ifrc/clvvgugzh00x501pc1n00b8cz
- Access Token: 



**Priority:** High",https://api.github.com/repos/IFRCGo/go-web-app/issues/932,-1,"[0.00287626 0.00636489 0.0062601  0.00400819 0.00618896 0.02649298
 0.01389865 0.00935493 0.00895273 0.00812166 0.01324743 0.01913246
 0.02675124 0.00565811 0.00632213 0.0251688  0.00761387 0.01198221
 0.00748891 0.00437858 0.00716053 0.00700706 0.02142224 0.01159413
 0.01734823 0.00812177]"
"Update Health Data Import Script to Incorporate New Choice Field Values


**Description:**
The health data import script currently in use needs to be updated to accommodate new values for the choice fields. Recently shared health data has introduced additional options for certain fields that were not part of the original data structure. These changes affect Table B's structure and choice fields. Below is a summary of the fields affected and the newly added values:

**Affected Fields and Added Values:**
1. **Affiliation Field:**
   - Added: Organizational Facility

2. **Hospital Type Field:**
   - Added: Mental Health Hospital

3. **Specialized Medical Beyond Primary Level Field:**
   - Added: 
     - forensics_services
     - intensive_care_medicine
     - neonatology
     - ophthalmology
     - oncology
     - srh
     - transplantation_services

4. **Blood Services Field:**
   - Added: hemopurification_hemofiltration

**Action Required:**
The existing import script needs to be updated to include the newly introduced options for the mentioned fields. This update is crucial for ensuring that the imported health data accurately reflects the latest data structure and choices available.


**Priority:** High",https://api.github.com/repos/IFRCGo/go-web-app/issues/934,-1,"[0.00214053 0.00394191 0.00324373 0.00360576 0.01316312 0.00430926
 0.00346536 0.00610516 0.00438598 0.00509762 0.00484546 0.00576691
 0.00453104 0.00470982 0.01427456 0.0101885  0.02933109 0.00667359
 0.02683996 0.00398243 0.00878084 0.00492833 0.00421851 0.00517951
 0.00375706 0.0048364 ]"
"Enhancement Proposal: Streamlining Build Process for `go-web-app` Monorepo
### Current Situation
Currently, our `go-web-app` monorepo's build process involves a cumbersome two-step manual execution. Initially, we build `go-ui` utilizing the Vite library mode, followed by the building of `go-web-app` itself using Vite. 
Additionally, we lack the capability to automatically detect and incorporate changes in `go-ui`, necessitating manual intervention for each update.

### Proposed Solution
To address these challenges and enhance our development workflow, I propose leveraging advanced build tools tailored for monorepo environments. Specifically, we should explore the integration of `turborepo` and `nx`, which offer sophisticated features designed to optimize the build process and streamline development tasks.",https://api.github.com/repos/IFRCGo/go-web-app/issues/967,12,"[0.00478561 0.00853407 0.00978782 0.00549911 0.00752022 0.03884039
 0.03917564 0.00977774 0.01022101 0.00892166 0.01376213 0.01516445
 0.07026588 0.00727557 0.0077815  0.01733035 0.00880633 0.01170739
 0.00854048 0.00590575 0.00847859 0.00799943 0.02965088 0.01174599
 0.03747751 0.00918691]"
"[PROD] Appeal Type column in search results doesn't handle list correctly
When searching for an emergency I saw that Appeal Type in the emergencies table isn't parsing a list of appeals correctly (it has the square brackets around the list):

![Screen Shot 2024-05-13 at 10 57 03 AM](https://github.com/IFRCGo/go-web-app/assets/8890661/5dd4b280-7453-4a2a-9cca-2e3be0c4c0a3)

Here's the search URL: https://go.ifrc.org/search?keyword=southern%20africa%20%20drought

Using Firefox, confirmed issue in Chrome as well. ",https://api.github.com/repos/IFRCGo/go-web-app/issues/973,8,"[0.00597404 0.02070956 0.01291311 0.00996659 0.01040244 0.01483215
 0.01131284 0.02895745 0.13055639 0.05096001 0.03672971 0.02400049
 0.0119307  0.017269   0.00983637 0.01439858 0.01169491 0.03883397
 0.01248545 0.0112115  0.01611898 0.03587086 0.01608991 0.04710249
 0.01325559 0.08381803]"
"Would be great to compress all info to 2 A4 pages. Suggest to put Component Rating PER Cycles and Current Component Rating sections on page 2.
",https://api.github.com/repos/IFRCGo/go-web-app/issues/982,0,"[0.3099603  0.02277366 0.02057646 0.02319126 0.03513411 0.02577451
 0.02374048 0.03291675 0.02604214 0.03121366 0.02628803 0.0303869
 0.02529006 0.02552601 0.0303676  0.03012753 0.03051244 0.02704531
 0.03416585 0.0238675  0.02797466 0.03118463 0.02472735 0.02890923
 0.02449566 0.02780792]"
"[PROD] All operations table is not sorted by start date descending
## Issue
The table of [all operations/appeals](https://go.ifrc.org/appeals/all) isn't sorted descending by the start date. Maybe it's sorted by the latest change?

## Steps to reproduce
Navigate to https://go.ifrc.org/appeals/all and observe the sort order.

![image](https://github.com/IFRCGo/go-frontend/assets/15220593/ec386c84-dfca-4a3b-8ccb-af8a38c4fec7)

## Expected behaviour
The table should be sorted descending by the start date like the [all emergencies](https://go.ifrc.org/emergencies/all) table.

## Impact
Minor impact for a relatively small number of users.

## Severity
Minimal impact, might cause some users not finding the latest operations easily.

## Is there a workaround?
Users can set the sort order by start date from the table headers.
",https://api.github.com/repos/IFRCGo/go-web-app/issues/998,1,"[0.00557844 0.12691821 0.02079743 0.01581932 0.01072773 0.01183263
 0.00992183 0.01566674 0.02700876 0.02047943 0.02310951 0.01434701
 0.01066412 0.04914273 0.01117754 0.0126632  0.01314033 0.02722557
 0.01296879 0.01893907 0.02662481 0.0185279  0.01320248 0.02104105
 0.01110618 0.03209478]"
"Emergency pages: Add ""Last updated"" field to each section of the ""Emergency Details"" tab
## Is your feature request related to a problem? Please describe.
It is difficult to understand how recent the emergency page data is when there's no information about when each section of the page was last updated.

## Describe the solution you'd like
Each section of the emergency page (key figures (separately for each key figure), emergency overview, situational overview, contacts) should have a last updated field that would ideally change _automatically_ whenever they're changed. A manual way to edit the last updated information would also work (but would be more error-prone and might be forgot to change whenever administrators change the content).",https://api.github.com/repos/IFRCGo/go-web-app/issues/1001,-1,"[0.00554432 0.02307727 0.01946163 0.01161146 0.01493688 0.03291703
 0.02110888 0.02767873 0.03763414 0.02585176 0.04917413 0.03991094
 0.02701116 0.01880113 0.01541209 0.03467106 0.01918413 0.07290666
 0.01897364 0.0129879  0.02266473 0.0221511  0.03795082 0.05598154
 0.02598438 0.03314327]"
"Emergency page: Response documents: Add date field and use it to show the latest documents first
## Is your feature request related to a problem? Please describe.
When an emergency has [many documents](https://go.ifrc.org/emergencies/5854/reports), it is difficult to find the latest documents and to understand when each document was published.

## Describe the solution you'd like
Add a date field for each document in the admin panel and use it sort the documents so that the latest ones show up on the list first. Currently they're shown in wrong order (oldest first).

![image](https://github.com/IFRCGo/go-web-app/assets/15220593/23781b3e-a615-42f0-95c9-b8b43e2b7e5c)

# Describe alternatives you've considered
Some persons add a date to the file name manually but it's a sketchy solution and prone to people forgetting to do it manually every time they add a new document.

![image](https://github.com/IFRCGo/go-web-app/assets/15220593/6a8cc750-ddc2-4b60-8295-77b08f3d13a4)
",https://api.github.com/repos/IFRCGo/go-web-app/issues/1002,17,"[2.16351635e-308 9.43035663e-308 6.20638494e-308 4.32180854e-308
 5.00181616e-308 7.78639624e-308 5.51207379e-308 1.18717070e-307
 2.21896008e-307 1.29352538e-307 1.61834642e-307 1.24744765e-307
 6.40380948e-308 7.61382177e-308 4.92660095e-308 8.36980019e-308
 6.08549986e-308 1.00000000e+000 6.22490536e-308 4.89704488e-308
 8.33425666e-308 1.07362498e-307 8.61816159e-308 3.74577627e-307
 6.55810987e-308 2.23712867e-307]"
"[PROD] Emergency page: Key figures: Disallow non-numerical entries
## Issue
It's possible to type non-numerical entries to key figures field in the admin panel.

## Steps to reproduce
Have a look at the [Africa Hunger Crisis](https://go.ifrc.org/emergencies/6008/details) key figures. People facing acute food insecurity and people affected by natural disasters in SSA look suspiciously low...

![image](https://github.com/IFRCGo/go-web-app/assets/15220593/9dd816e1-12b9-4fd7-b7af-3f59a4cc56db)

Then, [edit](https://goadmin.ifrc.org/en/admin/api/event/6008/change/) the event in the admin panel and observe the entries of those key figures:

![image](https://github.com/IFRCGo/go-web-app/assets/15220593/a9c56541-9c94-4662-98ae-785a932e53d7)

## Expected behaviour
Only numerical entries should be allowed for key figures.",https://api.github.com/repos/IFRCGo/go-web-app/issues/1003,-1,"[0.00404998 0.02063337 0.00991114 0.010465   0.00963203 0.00992716
 0.00781045 0.02206698 0.03412112 0.0383519  0.0225209  0.01536725
 0.00863435 0.02298199 0.00917736 0.0112643  0.01103699 0.02891522
 0.01167997 0.01227407 0.01852689 0.03305417 0.0106269  0.02508099
 0.00889105 0.06835141]"
"Country Pages: Improve messaging for `Data not available` cases
## Ticket description
- Setting up this ticket to discuss on improving the messaging in cases where the sections do not have any data. ",https://api.github.com/repos/IFRCGo/go-web-app/issues/1011,13,"[2.06480271e-308 1.25579280e-307 5.10118118e-308 8.66615809e-308
 4.83934691e-308 3.79344257e-308 3.18904648e-308 6.00831479e-308
 6.94914188e-308 7.64971091e-308 6.48979368e-308 4.91778799e-308
 3.53579163e-308 1.00000000e+000 4.99187612e-308 4.65974870e-308
 5.85605357e-308 7.61851446e-308 5.88718233e-308 1.18111839e-307
 2.11456811e-307 7.50950232e-308 4.05147971e-308 6.25111835e-308
 3.51513404e-308 8.91035615e-308]"
"Add TypeScript Type Check along with API Schema Validation
To ensure the reliability and consistency of our codebase, we should add steps in our CI pipeline to perform TypeScript type checking for the frontend, validate the backend API schema, and generate/check TypeScript types from the OpenAPI schema using `openapi-typescript`. This will help catch type errors and schema inconsistencies early in the development process, improving code quality and reducing potential runtime errors.

### Acceptance Criteria
-  TypeScript type checking runs successfully as part of the CI pipeline.
-  API schema validation runs successfully as part of the CI pipeline.
-  TypeScript types are generated from the OpenAPI schema and type-checked as part of the CI pipeline.
-  CI pipeline fails if any type errors or schema validation errors are detected.
-  Documentation is updated to reflect the new type-checking and schema validation steps in the CI process.
",https://api.github.com/repos/IFRCGo/go-web-app/issues/1045,12,"[0.00626738 0.01163702 0.01309717 0.00746817 0.01024213 0.06389913
 0.03741208 0.01388572 0.01426905 0.01238055 0.01938713 0.02199685
 0.45593799 0.00996254 0.01059439 0.02607422 0.01212064 0.01692724
 0.01180532 0.00803851 0.0117834  0.01107716 0.04270403 0.01677659
 0.04442568 0.01282421]"
"Integrate Playwright testing as a part of CI process
",https://api.github.com/repos/IFRCGo/go-web-app/issues/1048,0,"[0.5162912  0.01629539 0.01496223 0.01669896 0.02377916 0.01846225
 0.01720008 0.02244722 0.01832456 0.02133766 0.01861045 0.02104942
 0.01823066 0.01802366 0.02118533 0.02100868 0.02119793 0.01894798
 0.02316787 0.01708072 0.01954874 0.02131019 0.01776404 0.02007065
 0.01764291 0.01936206]"
"Comprehensive documentation detailing the setups for integrating Playwright
",https://api.github.com/repos/IFRCGo/go-web-app/issues/1049,0,"[0.40413451 0.01998601 0.01830582 0.02046065 0.02943021 0.02270577
 0.02108923 0.02782387 0.02256098 0.02639377 0.02289468 0.02602624
 0.02239878 0.02214234 0.02608303 0.02593007 0.02611903 0.02334786
 0.02866848 0.02094428 0.02406735 0.02635752 0.02182215 0.02477625
 0.02165664 0.02387447]"
"`Select rating` dropdown in Assessment is shifted to left side
## Details
- The `Select rating` dropdowns in the PER assessment have been shifted to the left side. They should be on the right. ",https://api.github.com/repos/IFRCGo/go-web-app/issues/1094,13,"[0.00851384 0.05839097 0.02246387 0.02963656 0.01939174 0.01654316
 0.01385374 0.02594487 0.03217812 0.03449857 0.03056933 0.02153248
 0.01524132 0.21743884 0.02007114 0.01999439 0.0239555  0.03465202
 0.0239898  0.03821991 0.07492906 0.03252368 0.01784711 0.02821767
 0.01537487 0.0415163 ]"
"[PROD] Not-Open Surge alerts are not going through GO
We finally discover the issue!!! After having a conversation with the new focal point for RRMS in the Surge team, it seems that the alerts that are not making into GO, were created without an OP tag, and the OP tag was only added when those alerts were not open anymore (either archived or unfiled), so seems like the issue IS that we are only refreshing the Open Alerts endpoint of Molnix.

I will try to propose a meeting on Monday so we can discuss how to move forward on this one.

@tovari @batpad @szabozoltan69 
",https://api.github.com/repos/IFRCGo/go-web-app/issues/1107,-1,"[0.00562784 0.02404525 0.01507655 0.01077907 0.01201141 0.01978352
 0.01460522 0.03205035 0.07741336 0.04433444 0.09335502 0.03149112
 0.01555321 0.01898235 0.01175044 0.01869163 0.0141904  0.04450206
 0.01475461 0.01217814 0.01897403 0.031891   0.02196511 0.05513163
 0.01753008 0.053632  ]"
"Translatte (frontend)
Methodology after the last meeting with the IFRC Translation Service team:

1. We can directly fetch translations from the ifrc translation service.
2. We do not need a cache layer in between.
3. The updates to the translations are all handled client side.
4. We need to store the last migration applied on the server. How should we handle case when last migration is not defined or does not exist on the codebase?
5. We need to send updates to the backend during deployment. The deployment should fail if translations cannot be pushed.",https://api.github.com/repos/IFRCGo/go-web-app/issues/1132,5,"[0.00636189 0.01222643 0.01281074 0.00745776 0.01006089 0.4508067
 0.03980273 0.01601132 0.01660326 0.01423759 0.02373025 0.02871317
 0.06702798 0.01022072 0.01019094 0.02619411 0.01179641 0.01888109
 0.01173744 0.00806005 0.01191508 0.0124176  0.07945229 0.02039066
 0.05614217 0.01443999]"
"Double scrolbar appearing in Local Units form in Firefox browser
## Description 
- 2 scroll bars are appearing in the Local Units form while accessing it from Firefox browser

- Link to replicate: https://go-stage.ifrc.org/countries/14/ns-overview/context-and-structure

### Screenshot


![Image](https://github.com/IFRCGo/go-web-app/assets/72339626/815d4683-c0a6-4d7f-8294-90dd7a6f81eb)

",https://api.github.com/repos/IFRCGo/go-web-app/issues/1136,1,"[0.00522032 0.02551225 0.01146756 0.01782031 0.01141167 0.00897021
 0.00736588 0.01568158 0.01780238 0.02043786 0.01541142 0.01224519
 0.00826555 0.07731455 0.01129211 0.01110036 0.01338572 0.01969356
 0.01392545 0.0230535  0.03962186 0.02049259 0.00951416 0.01596609
 0.00817392 0.02445961]"
"[user feedback] GO ""About"" page discoverability
User feedback for consideration:

- as a person who hadn't used GO before, I was confused as to what GO was for and how to use it.  It would be good if there was an ""About"" page with information about what GO was for.

User had not been aware that there was an about page https://go.ifrc.org/resources
[from Clementine prior to starting with IM team]

response from @LukeCaley:  there *is* an about page, need to make sure it's clearer in the nav, and that users can find the overview info e.g. GO video.

[I am logging on behalf of Luke and Clementine so that this feedback is tracked for consideration for action]",https://api.github.com/repos/IFRCGo/go-web-app/issues/1137,8,"[0.00588643 0.03241288 0.01742134 0.01100914 0.01053253 0.01634531
 0.01257962 0.02430105 0.14607058 0.03468301 0.06150172 0.02211968
 0.01324214 0.02075235 0.01045808 0.01530965 0.01248787 0.04303547
 0.01272188 0.01251178 0.01803377 0.02690709 0.01860006 0.04319581
 0.01484446 0.06654499]"
"Risk Watch updates (from Risk Watch updates Q4 2023 – Q1 2024 #326)
## Details - In this ticket, we have sepearated out the items that have not been kicked-off yet from the #326 ) ticket ### New Features (High priority) Some of these will take some time, but we need to get started on them: - [ ] Automate filling of fields in the Field Reports and DREF requests with data from the Montandon: - Maps (including population exposed, branch locations, key cities) - Population exposed/potentially affected - Number of people at risk of displacement - [ ] Automated alert to NS based on impact forecast model outputs--via the Montandon - [ ] Semi-automated crisis categorisation using the data from the Montandon (formula to be determined) - [ ] Apply filter to map to toggle on/off the display of red/orange/yellow emergencies based on crisis categorisation - [ ] For the regional and country pages seasonal risk, for the food insecurity metric please add the data from FEWS NET to that from IPC (see screenshot below from [FEWS NET](https://fews.net/sites/default/files/2023-11/FAOB-November%202023.pdf)):  - [ ] On country pages, please update tables of impacts per return period based on data from the Montandon (this will involve Hamish) - [ ] For all impact forecasts, associate the predicted values with past events of a similar magnitude and indicate the return period associated with the magnitude of each impact (this will also involve Hamish) - [ ] Incorporate the 1-in-2 and 1-in-5-year flood forecasts from GloFAS and Google (once ready -- will involve Justin and possibly Hamish) ### New Features (Medium priority) ### New Features (Low priority)",https://api.github.com/repos/IFRCGo/go-web-app/issues/1142,10,"[2.11107023e-308 9.83654354e-308 7.36862478e-308 3.85339096e-308
 4.29630651e-308 8.90983650e-308 6.49933657e-308 9.15452911e-308
 1.89305095e-307 1.02268627e-307 1.00000000e+000 1.17316256e-307
 6.95148228e-308 6.74841988e-308 4.43770197e-308 7.79885026e-308
 5.40115760e-308 1.65913470e-307 5.36719644e-308 4.34598316e-308
 7.01374007e-308 8.25957586e-308 1.09460117e-307 1.67465940e-307
 8.03926950e-308 1.34259688e-307]"
"[PROD] Language issues with Surge CoS and Ops Toolbox in non-English languages (e.g. Spanish)
## Issue There is a presentation about GO to Spanish speakers. I am looking at the [Ops Toolbox](https://go.ifrc.org/surge/operational-toolbox) and the [Catalogue of Surge Services](https://go.ifrc.org/surge/catalogue/overview) in Spanish - and can see several issues. CoS main page: - Tab is in Spanish but the heading (that has same words) is still in English - All of the wording is in English CoS sectoral pages (e.g. https://go.ifrc.org/surge/catalogue/information-management ) - Most of it not translated at all, just a couple of headings and links are translated - sub pages (e.g. https://go.ifrc.org/surge/catalogue/information-management/roles-responsibility) also not translated Ops Toolbox: - almost all not translated, just a couple of headings are translated - weird glitch whereby in non-English versions there is an extra piece of text that looks like it might be a variable name? `_x000d__x000d__x000d_ How to Navigate:`  ## Expected behaviour GO should be available in all 4 languages. QUESTION: @tovari - are these translation gaps a bug? or a known gap? or is it new information that these pages aren't translated? - is manual translation needing to be arranged - if so I can potentially help wrangle - just please advise the process to manage the translations @LukeCaley xref https://github.com/IFRCGo/go-web-app/issues/486#issuecomment-2186548510 Thanks as always",https://api.github.com/repos/IFRCGo/go-web-app/issues/1203,8,"[2.10247940e-308 9.84148233e-308 5.87897236e-308 3.72417733e-308
 3.76951382e-308 6.20790482e-308 4.65984854e-308 9.23272816e-308
 1.00000000e+000 1.26890796e-307 2.02020402e-307 8.81465374e-308
 4.91936165e-308 6.68774438e-308 3.69990855e-308 5.70692337e-308
 4.42647972e-308 1.91229885e-307 4.53497040e-308 4.20359363e-308
 6.17490571e-308 9.75978524e-308 7.06403019e-308 2.09956855e-307
 5.55296400e-308 2.52397042e-307]"
"Country pages improvements -Q3
--------------DRAFT-------------------- **Local units:** - [x] Editing and validation workflow - #1122 **Unified plans:** - [ ] Strategic priorities strings should be renamed to display full names: Climate and environment Disasters and crises Health and wellbeing Migration and displacement Values, power and inclusion Strategic and operational coordination National Society development Humanitarian diplomacy Accountability and agility - [x] NS STrategic Priorities - indicate that these are for 2024: ""Source: **IFRC Unified Planning - 2024**"" - [ ] Membership coordination: order PNS names alphabetically. Generic: - [x] #1170 NS Activities - Active NSD funded initiatives - [ ] Include funding type for NSIA funds (included in the source api already) - [ ] Add contact emails in the description: CBF Office [CBF.Office@ifrc.org](mailto:CBF.Office@ifrc.org), NSIA Office [NSIA.Office@ifrc.org](mailto:NSIA.Office@ifrc.org) and Esf SECRETARIAT [esf.secretariat@ifrc.org](mailto:esf.secretariat@ifrc.org)",https://api.github.com/repos/IFRCGo/go-web-app/issues/1211,-1,"[0.00190164 0.00374198 0.00285325 0.00353443 0.01057195 0.00357008
 0.00285224 0.00613534 0.00415699 0.00515478 0.00442526 0.00511035
 0.00358691 0.00490842 0.01036366 0.00720962 0.01923818 0.00632388
 0.02947315 0.00398601 0.01049319 0.00511493 0.00354132 0.00483688
 0.00312247 0.00478638]"
"Operational Learning Page: Integrate LLM summaries for Operational Learning
Operational learnings in emergencies are the lessons learned from managing and dealing with crises, refining protocols for resource allocation, decision-making, communication strategies, and much more.  The summaries are generated using AI and Large Language Models, based on data coming from Final DREF Reports, Emergency Appeal reports and others.
### Previous implementation
[extractor-operational-learnings](https://github.com/IFRCGo/extractor-operational-learnings)
### Frontend Tasks
- [x] IFRCGo/go-web-app#1219
- [x] IFRCGo/go-web-app#1220
- [x] IFRCGo/go-web-app#1221
- [x] IFRCGo/go-web-app#1222
- [x] IFRCGo/go-web-app#1223
- [x] IFRCGo/go-web-app#1224
- [x] IFRCGo/go-web-app#1225
- [x] IFRCGo/go-web-app#1226
- [x] IFRCGo/go-web-app#1252
- [x] IFRCGo/go-web-app#1362
- [x] IFRCGo/go-web-app#1363
- [x] IFRCGo/go-web-app#1364
- [x] #1378
- [x] #1379
- [x] #1381

### Backend Tasks

- [x] IFRCGo/go-api#2198
- [x] IFRCGo/go-api#2199
- [x] IFRCGo/go-api#2200
- [x] IFRCGo/go-api#2211
- [x] IFRCGo/go-api#2212
- [x] IFRCGo/go-api#2201
- [x] IFRCGo/go-api#2259
- [x] IFRCGo/go-api#2260",https://api.github.com/repos/IFRCGo/go-web-app/issues/1218,-1,"[0.00279566 0.00941864 0.00669413 0.00674694 0.01052994 0.00830524
 0.00624463 0.01382418 0.0107226  0.01209612 0.01190548 0.01258709
 0.00799588 0.0109996  0.01097858 0.01602839 0.01637898 0.02138076
 0.01680747 0.00776774 0.02414509 0.01119449 0.00847269 0.01317224
 0.00705935 0.01246485]"
"Edge Matching GO Admin 0 to Subnational Boundaries
Field Maps has developed a script to edge-clipper custom Admin0 boundaries with subnational boundaries from OCHA CODs and GeoBoundaries. Here is the link to the process: [Edge Clipper](https://github.com/fieldmaps/edge-clipper). We now seek to edge match the OCHA CODs subnational boundaries to GO Admin0 boundaries. When there is a gap, we check if we can adopt GeoBoundaries.",https://api.github.com/repos/IFRCGo/go-web-app/issues/1227,5,"[0.00560683 0.01208113 0.01227675 0.00683389 0.00903067 0.11152529
 0.03219642 0.01558693 0.01744574 0.01426965 0.0290652  0.03288124
 0.03717438 0.00981561 0.0091549  0.02352138 0.0107974  0.01937293
 0.01075148 0.00745433 0.01138691 0.01210327 0.08696921 0.02221624
 0.05269075 0.01461726]"
